rank,previousRank,athlete,school,grade,division,gender,season,event,timeOrMark,rankingExplanation,updatedDate,slug,title,subtitle,sport
1,,Irelyn Johnson,Marlington,Senior,Division 3,Girls,2026,Cross Country,18:10.89 5K,Irelyn Johnson combines 18:10.89 in the 5K with 10:36.08 in the 3200. Those marks rank 2nd and 2nd within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
2,,Rylie Towns,Huron,Senior,Division 3,Girls,2026,Cross Country,18:34.32 5K,Rylie Towns combines 18:34.32 in the 5K with 10:47.36 in the 3200. Those marks rank 4th and 3rd within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
3,,Lola Mullen,Woodridge,Senior,Division 3,Girls,2026,Cross Country,18:25.69 5K,Lola Mullen combines 18:25.69 in the 5K with 11:13.42 in the 3200. Those marks rank 3rd and 11th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
4,,Katrina Neal,Clear Fork,Senior,Division 3,Girls,2026,Cross Country,18:47.19 5K,Katrina Neal combines 18:47.19 in the 5K with 10:55.88 in the 3200. Those marks rank 8th and 4th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
5,,Gwenyth Huddle,Napoleon,Junior,Division 3,Girls,2026,Cross Country,17:53.80 5K,Gwenyth Huddle combines 17:53.80 in the 5K with 10:35.05 in the 3200. Those marks rank 1st and 1st within their listed event groups. Her 5K mark is a verified personal best rather than a state championship time.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
6,,Evelyn Reinoehl,Oakwood,Sophomore,Division 3,Girls,2026,Cross Country,18:38.59 5K,Evelyn Reinoehl combines 18:38.59 in the 5K with 11:06.36 in the 3200. Those marks rank 6th and 8th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
7,,Kali Wallace,Claymont,Senior,Division 3,Girls,2026,Cross Country,18:35.83 5K,Kali Wallace combines 18:35.83 in the 5K with 11:21.44 in the 3200. Those marks rank 5th and 14th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
8,,Grace Brown,Bellefontaine,Senior,Division 3,Girls,2026,Cross Country,18:54.89 5K,Grace Brown combines 18:54.89 in the 5K with 11:08.26 in the 3200. Those marks rank 12th and 9th within their listed event groups. She moves into Division 3 after competing in Division 2 in 2025.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
9,,Sadie Schultz,Fairfield Union,Sophomore,Division 3,Girls,2026,Cross Country,18:53.70 5K,Sadie Schultz combines 18:53.70 in the 5K with 11:16.55 in the 3200. Those marks rank 10th and 12th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
10,,Caroline Valentino,Hathaway Brown School,Junior,Division 3,Girls,2026,Cross Country,19:01.77 5K,Caroline Valentino combines 19:01.77 in the 5K with 4:55.68 in the 1600. Those marks rank 15th and 1st within their listed event groups. She moves into Division 3 after competing in Division 2 in 2025.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
11,,Makenzie Beavers,Minerva,Senior,Division 3,Girls,2026,Cross Country,19:03.94 5K,Makenzie Beavers combines 19:03.94 in the 5K with 11:13.41 in the 3200. Those marks rank 17th and 10th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
12,,Penny Francis,Bath,Junior,Division 3,Girls,2026,Cross Country,19:09.40 5K,Penny Francis combines 19:09.40 in the 5K with 11:05.29 in the 3200. Those marks rank 18th and 6th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
13,,Tateum Richard,Minerva,Junior,Division 3,Girls,2026,Cross Country,18:45.62 5K,Tateum Richard combines 18:45.62 in the 5K with 5:22.32 in the 1600. Those marks rank 7th and 3rd within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
14,,Lina Kaufman,Garrettsville Garfield,Sophomore,Division 3,Girls,2026,Cross Country,18:53.74 5K,Lina Kaufman combines 18:53.74 in the 5K with 11:22.22 in the 3200. Those marks rank 11th and 15th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
15,,Lillian Singer,Woodridge,Senior,Division 3,Girls,2026,Cross Country,18:52.55 5K,Lillian Singer combines 18:52.55 in the 5K with 11:34.50 in the 3200. Those marks rank 9th and 19th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
16,,Marina Campbell,Orange,Junior,Division 3,Girls,2026,Cross Country,19:10.50 5K,Marina Campbell combines 19:10.50 in the 5K with 11:16.91 in the 3200. Those marks rank 19th and 13th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
17,,Andrea Lesnak,Huron,Sophomore,Division 3,Girls,2026,Cross Country,19:29.13 5K,Andrea Lesnak combines 19:29.13 in the 5K with 11:04.66 in the 3200. Those marks rank 23rd and 5th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
18,,Lucy Folger,Madeira,Junior,Division 3,Girls,2026,Cross Country,19:14.06 5K,Lucy Folger combines 19:14.06 in the 5K with 11:26.99 in the 3200. Those marks rank 20th and 17th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
19,,Olivia Kiefer,Hathaway Brown School,Senior,Division 3,Girls,2026,Cross Country,19:38.27 5K,Olivia Kiefer combines 19:38.27 in the 5K with 11:05.71 in the 3200. Those marks rank 25th and 7th within their listed event groups. She moves into Division 3 after competing in Division 2 in 2025.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
20,,Gabby Byrne,Chagrin Falls,Junior,Division 3,Girls,2026,Cross Country,19:03.65 5K,Gabby Byrne combines 19:03.65 in the 5K with 11:32.09 in the 3200. Those marks rank 16th and 18th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
21,,Josie Eick,Tuscarawas Valley,Junior,Division 3,Girls,2026,Cross Country,19:01.31 5K,Josie Eick combines 19:01.31 in the 5K with 5:16.79 in the 1600. Those marks rank 14th and 2nd within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
22,,Marlena McCown,Ironton,Senior,Division 3,Girls,2026,Cross Country,19:23.79 5K,Marlena McCown combines 19:23.79 in the 5K with 11:23.69 in the 3200. Those marks rank 22nd and 16th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
23,,Abigail Montgomery,Buckeye Valley,Sophomore,Division 3,Girls,2026,Cross Country,19:18.99 5K,Abigail Montgomery combines 19:18.99 in the 5K with 11:35.55 in the 3200. Those marks rank 21st and 20th within their listed event groups.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
24,,Anna Will,Shelby,Senior,Division 3,Girls,2026,Cross Country,19:32.04 5K,Anna Will combines 19:32.04 in the 5K with 11:36.98 in the 3200. Those marks rank 24th and 21st within their listed event groups. She moves into Division 3 after competing in Division 2 in 2025.,2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
25,,Sophia Tebbe,Bishop Fenwick,Sophomore,Division 3,Girls,2026,Cross Country,18:57.24 5K,"Sophia Tebbe recorded 18:57.24 in her 2025 state 5K, the 13th fastest listed 5K in this Division 3 ranking. No verified 2026 track mark was available.",2026-07-29,2026-division-3-girls-cross-country-top-25,2026 Division 3 Girls Cross Country Top 25,Top 25 returning girls,Cross Country
