rank,previousRank,athlete,school,grade,division,gender,season,event,timeOrMark,rankingExplanation,updatedDate,slug,title,subtitle,sport
1,,Bennett Lehman,Ansonia,Senior,Division 4,Boys,2026,Cross Country,15:17.91 5K,"Bennett Lehman opens at No. 1 with 15:17.91 in the 5K, 9:16.30 in the 3200, 4:16.15 in the 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
2,,Samuel Phlipot,Russia,Senior,Division 4,Boys,2026,Cross Country,15:54.30 5K,"Samuel Phlipot enters at No. 2 after a 15:54.30 5K, a 9:44.80 3200, and a 4:17.68 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
3,,Nigel Wenger,Smithville,Junior,Division 4,Boys,2026,Cross Country,16:07.01 5K,"Nigel Wenger enters at No. 3 after a 16:07.01 5K, a 9:57.49 3200, and a 4:18.99 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
4,,Caiden Squillante,Columbus Grove,Senior,Division 4,Boys,2026,Cross Country,15:55.45 5K,Caiden Squillante is ranked No. 4 with a 15:55.45 5K and a 4:23.62 1600.,2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
5,,Kolten Evans,Riverdale,Senior,Division 4,Boys,2026,Cross Country,15:48.80 5K,"Kolten Evans enters at No. 5 after a 15:48.80 5K, a 9:55.18 3200, and a 4:20.83 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
6,,Sam Steimle,Grand Valley,Senior,Division 4,Boys,2026,Cross Country,15:56.46 5K,"Sam Steimle enters at No. 6 after a 15:56.46 5K, a 9:55.05 3200, and a 4:37.13 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
7,,Derek Young,Crestview Convoy,Junior,Division 4,Boys,2026,Cross Country,16:10.50 5K,Derek Young is ranked No. 7 with a 16:10.50 5K and a 9:27.70 3200.,2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
8,,Ethan Lee,Fayette,Senior,Division 4,Boys,2026,Cross Country,16:04.74 5K,Ethan Lee is ranked No. 8 with a 16:04.74 5K and a 4:45.41 1600.,2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
9,,Titus Young,Anna,Senior,Division 4,Boys,2026,Cross Country,16:11.27 5K,"Titus Young enters at No. 9 after a 16:11.27 5K, a 9:44.46 3200, and a 4:37.75 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
10,,Paxson Bixler,Russia,Sophomore,Division 4,Boys,2026,Cross Country,16:22.01 5K,"Paxson Bixler enters at No. 10 after a 16:22.01 5K, a 9:37.33 3200, and a 4:25.00 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
11,,Nathan Sultan,Cedarville,Senior,Division 4,Boys,2026,Cross Country,16:18.10 5K,"Nathan Sultan enters at No. 11 after a 16:18.10 5K, a 10:20.14 3200, and a 4:48.45 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
12,,Stephen Wojtowicz,Legacy Christian,Senior,Division 4,Boys,2026,Cross Country,16:18.20 5K,"Stephen Wojtowicz enters at No. 12 after a 16:18.20 5K, a 9:36.45 3200, and a 4:22.19 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
13,,Ean Grillot,Fort Loramie,Senior,Division 4,Boys,2026,Cross Country,16:25.61 5K,"Ean Grillot enters at No. 13 after a 16:25.61 5K, a 9:37.23 3200, and a 4:32.46 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
14,,Hudson Perrott,Crestview Convoy,Senior,Division 4,Boys,2026,Cross Country,16:23.33 5K,Hudson Perrott is ranked No. 14 with a 16:23.33 5K and a 4:27.39 1600.,2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
15,,Owen Cappuzzello,McDonald,Sophomore,Division 4,Boys,2026,Cross Country,16:27.78 5K,"Owen Cappuzzello enters at No. 15 after a 16:27.78 5K, a 9:38.07 3200, and a 4:36.65 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
16,,Elijah Scales,Springfield ECA,Junior,Division 4,Boys,2026,Cross Country,16:19.08 5K,Elijah Scales is ranked No. 16 with a 16:19.08 5K and a 4:23.92 1600.,2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
17,,Henry Bartlett,Mount Gilead,Junior,Division 4,Boys,2026,Cross Country,16:11.14 5K,"Henry Bartlett enters at No. 17 after a 16:11.14 5K, a 9:39.56 3200, and a 4:33.18 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
18,,Andrew Gannon,Mount Gilead,Sophomore,Division 4,Boys,2026,Cross Country,16:26.87 5K,Andrew Gannon holds the No. 18 position on the strength of a 16:26.87 5K and the available 2025 cross country résumé.,2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
19,,Carter Hicks,New London,Junior,Division 4,Boys,2026,Cross Country,16:23.94 5K,"Carter Hicks enters at No. 19 after a 16:23.94 5K, a 9:51.17 3200, and a 4:39.48 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
20,,Noah Meyer,Tinora,Senior,Division 4,Boys,2026,Cross Country,16:25.56 5K,Noah Meyer is ranked No. 20 with a 16:25.56 5K and a 9:55.77 3200.,2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
21,,Elam Sparks,Legacy Christian,Senior,Division 4,Boys,2026,Cross Country,16:19.17 5K,"Elam Sparks enters at No. 21 after a 16:19.17 5K, a 10:07.15 3200, and a 4:40.83 1600.",2026-07-29,2026-division-4-boys-cross-country-top-25,2026 Division 4 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
